#curie_map:
#  BRENDA: http://purl.obolibrary.org/obo/BRENDA_
#  KEGG_REACTION: http://purl.obolibrary.org/obo/KEGG_REACTION_
#  RESID: http://purl.obolibrary.org/obo/RESID_
#  Wikipedia: http://purl.obolibrary.org/obo/Wikipedia_
#  RHEA: http://purl.obolibrary.org/obo/RHEA_
#  UniPathway: http://purl.obolibrary.org/obo/UniPathway_
#  MetaCyc: http://purl.obolibrary.org/obo/MetaCyc_
#  UM-BBD_reactionID: http://purl.obolibrary.org/obo/UM-BBD_reactionID_
#  UM-BBD_enzymeID: http://purl.obolibrary.org/obo/UM-BBD_enzymeID_
#  TC: http://purl.obolibrary.org/obo/TC_
#  SABIO-RK: http://purl.obolibrary.org/obo/SABIO-RK_
#  EC: http://purl.obolibrary.org/obo/EC_
#  PMID: http://purl.obolibrary.org/obo/PMID_
#  GO: http://purl.obolibrary.org/obo/GO_
#  Reactome: http://purl.obolibrary.org/obo/Reactome_
subject_id	subject_label	predicate_id	object_id	object_label	match_type	confidence	comment
GO:0000010	trans-hexaprenyltranstransferase activity	skos:exactMatch	RHEA:20836		xref	0.5	
GO:0000016	lactase activity	skos:exactMatch	EC:3.2.1.108		xref	0.5	
GO:0000016	lactase activity	skos:exactMatch	MetaCyc:LACTASE-RXN		xref	0.5	
GO:0000016	lactase activity	skos:exactMatch	RHEA:10076		xref	0.5	
GO:0000034	adenine deaminase activity	skos:exactMatch	EC:3.5.4.2		xref	0.5	
GO:0000034	adenine deaminase activity	skos:exactMatch	MetaCyc:ADENINE-DEAMINASE-RXN		xref	0.5	
GO:0000034	adenine deaminase activity	skos:exactMatch	RHEA:23688		xref	0.5	
GO:0000048	peptidyltransferase activity	skos:exactMatch	EC:2.3.2.12		xref	0.5	
GO:0000048	peptidyltransferase activity	skos:exactMatch	MetaCyc:PEPTIDYLTRANSFERASE-RXN		xref	0.5	
GO:0000104	succinate dehydrogenase activity	skos:exactMatch	MetaCyc:SUCC-FUM-OXRED-RXN		xref	0.5	
GO:0000104	succinate dehydrogenase activity	skos:exactMatch	RHEA:16357		xref	0.5	
GO:0000107	imidazoleglycerol-phosphate synthase activity	skos:exactMatch	MetaCyc:GLUTAMIDOTRANS-RXN		xref	0.5	
GO:0000107	imidazoleglycerol-phosphate synthase activity	skos:exactMatch	RHEA:24795		xref	0.5	
GO:0000121	glycerol-1-phosphatase activity	skos:exactMatch	EC:3.1.3.21		xref	0.5	
GO:0000121	glycerol-1-phosphatase activity	skos:exactMatch	MetaCyc:GLYCEROL-1-PHOSPHATASE-RXN		xref	0.5	
GO:0000121	glycerol-1-phosphatase activity	skos:exactMatch	RHEA:11476		xref	0.5	
GO:0000140	acylglycerone-phosphate reductase activity	skos:exactMatch	EC:1.1.1.101		xref	0.5	
GO:0000140	acylglycerone-phosphate reductase activity	skos:exactMatch	MetaCyc:ACYLGLYCERONE-PHOSPHATE-REDUCTASE-RXN		xref	0.5	
GO:0000140	acylglycerone-phosphate reductase activity	skos:exactMatch	RHEA:17341		xref	0.5	
GO:0000210	NAD+ diphosphatase activity	skos:exactMatch	EC:3.6.1.22		xref	0.5	
GO:0000210	NAD+ diphosphatase activity	skos:exactMatch	MetaCyc:NADPYROPHOSPHAT-RXN		xref	0.5	
GO:0000210	NAD+ diphosphatase activity	skos:exactMatch	RHEA:11800		xref	0.5	
GO:0000215	tRNA 2'-phosphotransferase activity	skos:exactMatch	EC:2.7.1.160		xref	0.5	
GO:0000215	tRNA 2'-phosphotransferase activity	skos:exactMatch	MetaCyc:2.7.1.160-RXN		xref	0.5	
GO:0000215	tRNA 2'-phosphotransferase activity	skos:exactMatch	RHEA:23324		xref	0.5	
GO:0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	skos:exactMatch	EC:3.5.1.52		xref	0.5	
GO:0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	skos:exactMatch	MetaCyc:3.5.1.52-RXN		xref	0.5	
GO:0000225	N-acetylglucosaminylphosphatidylinositol deacetylase activity	skos:exactMatch	EC:3.5.1.89		xref	0.5	
GO:0000225	N-acetylglucosaminylphosphatidylinositol deacetylase activity	skos:exactMatch	MetaCyc:3.1.1.69-RXN		xref	0.5	
GO:0000225	N-acetylglucosaminylphosphatidylinositol deacetylase activity	skos:exactMatch	RHEA:11660		xref	0.5	
GO:0000234	phosphoethanolamine N-methyltransferase activity	skos:exactMatch	EC:2.1.1.103		xref	0.5	
GO:0000234	phosphoethanolamine N-methyltransferase activity	skos:exactMatch	KEGG_REACTION:R02037		xref	0.5	
GO:0000234	phosphoethanolamine N-methyltransferase activity	skos:exactMatch	MetaCyc:2.1.1.103-RXN		xref	0.5	
GO:0000234	phosphoethanolamine N-methyltransferase activity	skos:exactMatch	RHEA:20365		xref	0.5	
GO:0000246	delta24(24-1) sterol reductase activity	skos:exactMatch	EC:1.3.1.71		xref	0.5	
GO:0000246	delta24(24-1) sterol reductase activity	skos:exactMatch	KEGG_REACTION:R05641		xref	0.5	
GO:0000246	delta24(24-1) sterol reductase activity	skos:exactMatch	MetaCyc:1.3.1.71-RXN		xref	0.5	
GO:0000246	delta24(24-1) sterol reductase activity	skos:exactMatch	RHEA:18501		xref	0.5	
GO:0000250	lanosterol synthase activity	skos:exactMatch	EC:5.4.99.7		xref	0.5	
GO:0000250	lanosterol synthase activity	skos:exactMatch	KEGG_REACTION:R03199		xref	0.5	
GO:0000250	lanosterol synthase activity	skos:exactMatch	MetaCyc:LANOSTEROL-SYNTHASE-RXN		xref	0.5	
GO:0000250	lanosterol synthase activity	skos:exactMatch	RHEA:14621		xref	0.5	
GO:0000252	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	skos:exactMatch	EC:1.1.1.170		xref	0.5	
GO:0000253	3-keto sterol reductase activity	skos:exactMatch	EC:1.1.1.270		xref	0.5	
GO:0000253	3-keto sterol reductase activity	skos:exactMatch	MetaCyc:1.1.1.270-RXN		xref	0.5	
GO:0000253	3-keto sterol reductase activity	skos:exactMatch	MetaCyc:RXN3O-4110		xref	0.5	
GO:0000253	3-keto sterol reductase activity	skos:exactMatch	MetaCyc:RXN66-19		xref	0.5	
GO:0000253	3-keto sterol reductase activity	skos:exactMatch	MetaCyc:RXN66-24		xref	0.5	
GO:0000253	3-keto sterol reductase activity	skos:exactMatch	MetaCyc:RXN66-314		xref	0.5	
GO:0000253	3-keto sterol reductase activity	skos:exactMatch	MetaCyc:RXN66-319		xref	0.5	
GO:0000253	3-keto sterol reductase activity	skos:exactMatch	RHEA:18409		xref	0.5	
GO:0000254	C-4 methylsterol oxidase activity	skos:exactMatch	EC:1.14.18.9		xref	0.5	
GO:0000254	C-4 methylsterol oxidase activity	skos:exactMatch	MetaCyc:1.14.13.72-RXN		xref	0.5	
GO:0000254	C-4 methylsterol oxidase activity	skos:exactMatch	RHEA:55220		xref	0.5	
GO:0000257	nitrilase activity	skos:exactMatch	EC:3.5.5.1		xref	0.5	
GO:0000257	nitrilase activity	skos:exactMatch	KEGG_REACTION:R00540		xref	0.5	
GO:0000257	nitrilase activity	skos:exactMatch	MetaCyc:3.5.5.1-RXN		xref	0.5	
GO:0000257	nitrilase activity	skos:exactMatch	RHEA:21724		xref	0.5	
GO:0000257	nitrilase activity	skos:exactMatch	UM-BBD_enzymeID:e0283		xref	0.5	
GO:0000277	[cytochrome c]-lysine N-methyltransferase activity	skos:exactMatch	EC:2.1.1.59		xref	0.5	
GO:0000277	[cytochrome c]-lysine N-methyltransferase activity	skos:exactMatch	MetaCyc:2.1.1.59-RXN		xref	0.5	
GO:0000277	[cytochrome c]-lysine N-methyltransferase activity	skos:exactMatch	RHEA:24312		xref	0.5	
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity	skos:exactMatch	EC:2.7.1.150		xref	0.5	
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity	skos:exactMatch	KEGG_REACTION:R05802		xref	0.5	
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity	skos:exactMatch	MetaCyc:2.7.1.150-RXN		xref	0.5	
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity	skos:exactMatch	RHEA:13609		xref	0.5	
GO:0000286	alanine dehydrogenase activity	skos:exactMatch	EC:1.4.1.1		xref	0.5	
GO:0000286	alanine dehydrogenase activity	skos:exactMatch	MetaCyc:ALANINE-DEHYDROGENASE-RXN		xref	0.5	
GO:0000286	alanine dehydrogenase activity	skos:exactMatch	RHEA:18405		xref	0.5	
GO:0000298	endopolyphosphatase activity	skos:exactMatch	EC:3.6.1.10		xref	0.5	
GO:0000298	endopolyphosphatase activity	skos:exactMatch	MetaCyc:ENDOPOLYPHOSPHATASE-RXN		xref	0.5	
GO:0000298	endopolyphosphatase activity	skos:exactMatch	RHEA:22452		xref	0.5	
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	skos:exactMatch	EC:2.7.7.1		xref	0.5	
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	skos:exactMatch	MetaCyc:2.7.7.1-RXN		xref	0.5	
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	skos:exactMatch	RHEA:21360		xref	0.5	
GO:0000310	xanthine phosphoribosyltransferase activity	skos:exactMatch	EC:2.4.2.22		xref	0.5	
GO:0000310	xanthine phosphoribosyltransferase activity	skos:exactMatch	MetaCyc:XANPRIBOSYLTRAN-RXN		xref	0.5	
GO:0000310	xanthine phosphoribosyltransferase activity	skos:exactMatch	RHEA:10800		xref	0.5	
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity	skos:exactMatch	EC:1.13.11.6		xref	0.5	
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity	skos:exactMatch	KEGG_REACTION:R02665		xref	0.5	
