subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
GO:0043786	cinnamate reductase activity	owl:equivalentClass	RHEA:50944	3-phenylpropanoate + NAD(+) = (E)-cinnamate + H(+) + NADH	Lexical|Flattening	GO	RHEA	rdf_matcher	0.6967304549770724	oio:hasExactSynonym	rdfs:label	molecular_function	RHEA:Reaction	3cinnamateehnadnadhphenylpropanoate	unique	UNIQUE_1
GO:0047185	N-acetylneuraminate 4-O-acetyltransferase activity	owl:equivalentClass	RHEA:26043	acetyl-CoA + N-acetylneuraminate = CoA + N-acetyl-9-O-acetylneuraminate	Lexical|Flattening	GO	RHEA	rdf_matcher	0.5346019613807635	oio:hasExactSynonym	rdfs:label	molecular_function	RHEA:Reaction	acetylacetylneuraminatecoano	one_to_many	UNIQUE_1
GO:0102955	S-adenosylmethionine:2-demethylmenaquinol-7 methyltransferase activity	owl:equivalentClass	RHEA:44792	2-demethylmenaquinol-12 + S-adenosyl-L-methionine = H(+) + menaquinol-12 + S-adenosyl-L-homocysteine	Lexical|Flattening	GO	RHEA	rdf_matcher	0.5346019613807635	oio:hasExactSynonym	rdfs:label	molecular_function	RHEA:Reaction	2adenosyldemethylmenaquinolhhomocysteinelmenaquinolmethionines	many_to_many	UNIQUE_1
GO:0102027	S-adenosylmethionine:2-demethylquinol-8 methyltransferase activity	owl:equivalentClass	RHEA:44776	2-demethylmenaquinol-6 + S-adenosyl-L-methionine = H(+) + menaquinol-6 + S-adenosyl-L-homocysteine	Lexical|Flattening	GO	RHEA	rdf_matcher	0.5346019613807635	oio:hasExactSynonym	rdfs:label	molecular_function	RHEA:Reaction	2adenosyldemethylmenaquinolhhomocysteinelmenaquinolmethionines	many_to_many	UNIQUE_1
GO:0034560	bisphenol A hydroxylase A activity	owl:equivalentClass	RHEA:31567	bisphenol A + H(+) + NADH + O2 = 2,2-bis(4-hydroxyphenyl)-1-propanol + H2O + NAD(+)	Lexical|Flattening	GO	RHEA	rdf_matcher	0.6967304549770724	oio:hasExactSynonym	rdfs:label	molecular_function	RHEA:Reaction	24abisbisphenolhh2ohydroxyphenylnadnadho2propanol	unique	UNIQUE_1
GO:0052926	dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity	owl:equivalentClass	RHEA:29535	alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + dolichyl beta-D-mannosyl phosphate = alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + dolichyl phosphate + H(+)	Lexical|Flattening	GO	RHEA	rdf_matcher	0.5346019613807635	oio:hasExactSynonym	rdfs:label	molecular_function	RHEA:Reaction	12346alphabetaddiphosphodolicholdolichylglcnachmanmannosylphosphate	many_to_many	UNIQUE_1
GO:0102119	gibberellin A20 carboxyl methyltransferase activity	owl:equivalentClass	RHEA:36123	gibberellin A20 + S-adenosyl-L-methionine = gibberellin A20 methyl ester + S-adenosyl-L-homocysteine	Lexical|Flattening	GO	RHEA	rdf_matcher	0.6967304549770724	oio:hasExactSynonym	rdfs:label	molecular_function	RHEA:Reaction	a20adenosylestergibberellinhomocysteinelmethioninemethyls	unique	UNIQUE_1
GO:0034281	ent-isokaurene synthase activity	owl:equivalentClass	RHEA:25759	ent-copalyl diphosphate = diphosphate + ent-isokaurene	Lexical|Flattening	GO	RHEA	rdf_matcher	0.6967304549770724	oio:hasExactSynonym	rdfs:label	molecular_function	RHEA:Reaction	copalyldiphosphateentisokaurene	unique	UNIQUE_1
GO:0008924	malate dehydrogenase (quinone) activity	owl:equivalentClass	RHEA:46012	(S)-malate + a quinone = a quinol + oxaloacetate	Lexical|Flattening	GO	RHEA	rdf_matcher	0.5346019613807635	oio:hasExactSynonym	rdfs:label	molecular_function	RHEA:Reaction	amalateoxaloacetatequinolquinones	one_to_many	UNIQUE_1
GO:0106331	sialate 4-O-acetylesterase activity	owl:equivalentClass	RHEA:22600	H2O + N-acetyl-9-O-acetylneuraminate = acetate + H(+) + N-acetylneuraminate	Lexical|Flattening	GO	RHEA	rdf_matcher	0.5346019613807635	oio:hasExactSynonym	rdfs:label	molecular_function	RHEA:Reaction	acetateacetylacetylneuraminatehh2ono	many_to_many	UNIQUE_1
GO:0120136	dUMP kinase activity	owl:equivalentClass	RHEA:30655	ATP + dUMP = ADP + dUDP	Lexical|Flattening	GO	RHEA	rdf_matcher	0.6967304549770724	oio:hasExactSynonym	rdfs:label	molecular_function	RHEA:Reaction	adpatpdudpdump	unique	UNIQUE_1
GO:0120136	dUMP kinase activity	owl:equivalentClass	RHEA:30655	ATP + dUMP = ADP + dUDP	Lexical	GO	RHEA	rdf_matcher	0.8666314426231786	oio:hasExactSynonym	rdfs:label	molecular_function	RHEA:Reaction	atp + dump = adp + dudp	unique	UNIQUE_1
GO:0120136	dUMP kinase activity	owl:equivalentClass	RHEA:30655	ATP + dUMP = ADP + dUDP	Lexical|Stemming	GO	RHEA	rdf_matcher	0.8212623907743639	oio:hasExactSynonym	rdfs:label	molecular_function	RHEA:Reaction	atp + dump = adp + dudp	unique	UNIQUE_1
